Taxpayer_ID,Age,Profession,City,Annual_Income,Declared_Expenses,Investment_Claims,Late_Filing_Count,Previous_Penalty,Expense_Ratio,Investment_Ratio,Total_Claims_Ratio,Risk_Score_Manual,Fraud_Label,Profession_Enc,City_Enc,Anomaly_Flag,Fraud_Probability,Risk_Level
TXP10000,62,Accountant,Jaipur,618585,303913,85814,2,0,0.49130353952973316,0.13872628660572112,0.6300298261354543,0,0,0,5,0,0.024,Low
TXP10001,52,Accountant,Kolkata,334626,335828,58286,0,1,1.0035920699527234,0.17418252018671593,1.1777745901394392,2,1,0,6,0,0.938,High
TXP10002,38,Engineer,Hyderabad,667047,173327,22423,2,0,0.25984225999067534,0.033615322458537406,0.2934575824492127,0,0,5,4,0,0.002,Low
TXP10003,66,Accountant,Bangalore,486141,232402,50222,3,0,0.4780547207497413,0.10330747663743646,0.5813621973871778,0,0,0,1,0,0.012,Low
TXP10004,31,Engineer,Kolkata,847996,287345,167959,1,1,0.3388518342067651,0.1980657927631734,0.5369176269699385,1,0,5,6,0,0.07,Low
TXP10005,44,Accountant,Bangalore,612308,362253,97067,3,0,0.591618923809586,0.1585264278761669,0.7501453516857529,0,0,0,1,0,0.028,Low
TXP10006,62,Consultant,Lucknow,793174,243717,153220,1,0,0.3072680143322903,0.19317325076212785,0.5004412650944181,0,0,3,7,0,0.0,
TXP10007,42,Teacher,Kolkata,379178,214151,60795,0,0,0.5647769649083016,0.16033366914747163,0.7251106340557733,0,0,9,6,0,0.006,Low
TXP10008,46,Doctor,Chennai,600311,342077,350608,0,0,0.5698329699105963,0.5840439372258712,1.1538769071364676,1,0,4,2,1,0.164,Low
TXP10009,34,Accountant,Delhi,712325,184373,104836,0,0,0.2588326957498333,0.14717439371073596,0.40600708946056924,0,0,0,3,0,0.002,Low
TXP10010,34,Doctor,Ahmedabad,1198274,610160,187997,0,0,0.5091990646546616,0.15688982653383116,0.6660888911884928,0,0,4,0,0,0.024,Low
TXP10011,47,Pharmacist,Chennai,539291,185992,61571,1,0,0.34488244750978597,0.11417027170859517,0.45905271921838114,0,0,8,2,0,0.0,
TXP10012,59,Engineer,Jaipur,838560,472013,156276,0,0,0.562885184125167,0.18636233543216943,0.7492475195573364,0,0,5,5,0,0.004,Low
TXP10013,63,Freelancer,Pune,364627,128551,61442,2,0,0.35255480257907396,0.1685064463136301,0.521061248892704,0,0,6,9,0,0.004,Low
TXP10014,47,Pharmacist,Delhi,420288,203813,72247,0,0,0.48493651971981117,0.17189879320846657,0.6568353129282778,0,0,8,3,0,0.002,Low
TXP10015,26,Consultant,Chennai,757366,715497,106895,6,1,0.9447176134128017,0.14114047897581883,1.0858580923886205,3,1,3,2,0,1.0,High
TXP10016,45,Business Owner,Hyderabad,1373976,1330113,102806,8,1,0.9680758615871019,0.07482372326736421,1.0428995848544662,3,1,2,4,1,0.98,High
TXP10017,25,Consultant,Bangalore,679082,162781,17936,0,0,0.239707428557965,0.026412126959630796,0.2661195555175958,0,0,3,1,0,0.004,Low
TXP10018,47,Pharmacist,Jaipur,553776,189083,104341,1,0,0.34144311057178356,0.1884173384184219,0.5298604489902055,0,0,8,5,0,0.0,
TXP10019,67,Business Owner,Hyderabad,1322555,648015,165982,1,0,0.4899720616533906,0.1255010188612194,0.61547308051461,0,0,2,4,0,0.016,Low
TXP10020,53,Teacher,Delhi,290101,122504,21370,0,0,0.4222805160961183,0.07366399977938717,0.4959445158755054,0,0,9,3,0,0.0,
TXP10021,61,Business Owner,Bangalore,1407517,647293,65934,1,0,0.45988290017101036,0.04684419442180805,0.5067270945928184,0,0,2,1,1,0.004,Low
TXP10022,25,Teacher,Jaipur,401811,111320,68032,0,0,0.2770456757032535,0.16931343343014502,0.44635910913339855,0,0,9,5,0,0.002,Low
